model,rate,seed,channel,mse,mae,nmse,skill,mode
Persistence,0.0,4,water_temp,0.986649315150221,0.6426157306372672,0.13680327233075845,1.0,block
Persistence,0.0,4,air_pressure,3.497800202460831,1.411351313487844,0.27875446038567475,1.0,block
Persistence,0.0,4,wind_u,2.9254698492401277,1.30060266143647,0.7888027782219125,1.0,block
Persistence,0.0,4,wind_v,5.594816862647213,1.712845133311713,1.3549266325063056,1.0,block
LSTM,0.2,0,water_level,0.0632334608260032,0.16191607313037412,0.2468179477184088,0.11299403832578873,block
LSTM,0.2,0,air_temp,1.5769298427672327,0.9104667460059599,0.18336050882386593,0.4226295253514752,block
LSTM,0.2,0,water_temp,0.6991769019941553,0.6191186444935691,0.09694395634006944,0.7066270435370396,block
LSTM,0.2,0,air_pressure,3.267820575011425,1.3057822484074708,0.26042641325929644,0.894611175389198,block
LSTM,0.2,0,wind_u,1.9515705836155324,1.0630877354054111,0.5262075418934643,0.6660766855146608,block
LSTM,0.2,0,wind_v,2.1096204058645576,1.0597747024612048,0.5108980226802625,0.3761114392467861,block
Latent ODE,0.2,0,water_level,0.2154219108993087,0.3720280120976238,0.8408521888126743,0.38494479565732287,block
Latent ODE,0.2,0,air_temp,2.6170580230373166,1.1432229859116347,0.3043033860552888,0.7013920087609073,block
Latent ODE,0.2,0,water_temp,1.0989148040804193,0.772784960257151,0.15236937674053583,1.1106243883224323,block
Latent ODE,0.2,0,air_pressure,4.144192729870628,1.3745035909850216,0.3302682089550424,1.1345301995645736,block
Latent ODE,0.2,0,wind_u,2.1456495446352224,1.1074978083520386,0.5785376056220369,0.7323163963247266,block
Latent ODE,0.2,0,wind_v,3.1156656825127294,1.3639587857829991,0.7545373717961184,0.5554731556464274,block
Persistence,0.2,0,water_level,0.5596176733119854,0.5846074211152262,2.1843448678838597,1.0,block
Persistence,0.2,0,air_temp,3.731234445714119,1.3278216782850119,0.43385636313832115,1.0,block
Persistence,0.2,0,water_temp,0.9894567557086515,0.6429415523942005,0.13719253632696254,1.0,block
Persistence,0.2,0,air_pressure,3.6527830915925783,1.4437641223121456,0.2911057009163771,1.0,block
Persistence,0.2,0,wind_u,2.929948797273399,1.3026769457764886,0.7900104497530595,1.0,block
Persistence,0.2,0,wind_v,5.609030158958625,1.718056655048731,1.3583687422626782,1.0,block
LSTM,0.2,1,water_level,0.048070452915682335,0.1410681051832017,0.18763247147250983,0.08454235168110745,block
LSTM,0.2,1,air_temp,1.5186105362383966,0.8813615080639735,0.17657932082845246,0.4025851843001784,block
LSTM,0.2,1,water_temp,0.7172517406467712,0.6139588776125402,0.09945011231317916,0.7195191600128845,block
LSTM,0.2,1,air_pressure,2.957298145802976,1.2744193570850728,0.23567957033477713,0.8302404225051003,block
LSTM,0.2,1,wind_u,1.9922577207954368,1.071558223237248,0.5371781307216967,0.6766222377742167,block
LSTM,0.2,1,wind_v,2.211473828722193,1.0812809914103392,0.5355644092000956,0.390729751234821,block
Latent ODE,0.2,1,water_level,0.21354609129339827,0.37009781801848984,0.8335303383339421,0.37556726960570375,block
Latent ODE,0.2,1,air_temp,2.595215728317482,1.1403179477178056,0.3017636318030123,0.6879943062105818,block
Latent ODE,0.2,1,water_temp,1.1289321817641345,0.7865987207345257,0.1565314183401849,1.132501030115276,block
Latent ODE,0.2,1,air_pressure,3.106924815379229,1.3066581625118148,0.24760395112350544,0.8722470458627493,block
Latent ODE,0.2,1,wind_u,2.217046772464986,1.1205059450064132,0.5977886437703497,0.7529664123155845,block
Latent ODE,0.2,1,wind_v,3.1537132516231505,1.3732605802874462,0.7637515544861738,0.5572074054273007,block
Persistence,0.2,1,water_level,0.5685961173283114,0.5902867740615275,2.219390255197263,1.0,block
Persistence,0.2,1,air_temp,3.7721471019313007,1.3393402083584602,0.4386135598492123,1.0,block
Persistence,0.2,1,water_temp,0.9968487018940917,0.6465471404669497,0.13821746221657014,1.0,block
Persistence,0.2,1,air_pressure,3.5619780314717318,1.422504581290367,0.2838690624381509,1.0,block
Persistence,0.2,1,wind_u,2.944416558564599,1.30555708649542,0.7939114334887538,1.0,block
Persistence,0.2,1,wind_v,5.6598552368568935,1.7265798654129256,1.3706773223885678,1.0,block
LSTM,0.2,2,water_level,0.052958267012077745,0.1573289657529459,0.20671098193742055,0.09568019458202122,block
LSTM,0.2,2,air_temp,1.5152672028696805,0.8863089156235949,0.17619056839887082,0.40325313707896276,block
LSTM,0.2,2,water_temp,0.6981720101539473,0.6133329499828343,0.09680462366130707,0.7066617111927875,block
LSTM,0.2,2,air_pressure,3.0308342981528793,1.2895863306069169,0.241539976670369,0.8686458905331196,block
LSTM,0.2,2,wind_u,2.088068796034476,1.101560064413852,0.5630119441696847,0.7174708112081233,block
LSTM,0.2,2,wind_v,2.319507668465129,1.1194632705764391,0.5617275402324782,0.4055325626432924,block
Latent ODE,0.2,2,water_level,0.21716275591078635,0.372857295625932,0.8476471955609377,0.39234997506193536,block
Latent ODE,0.2,2,air_temp,2.641257744580601,1.1515141859497249,0.30711725458338124,0.7029093412165907,block
Latent ODE,0.2,2,water_temp,1.105295836682744,0.7827874186721262,0.15325413501020974,1.1187361222806185,block
Latent ODE,0.2,2,air_pressure,3.1181092321359416,1.3039636545836286,0.24849528449799393,0.8936591394583872,block
Latent ODE,0.2,2,wind_u,2.1524500807324056,1.1103133965487504,0.580371253563495,0.7395925404569722,block
Latent ODE,0.2,2,wind_v,3.126065565776667,1.3665933561562307,0.757055966980769,0.5465476131489773,block
Persistence,0.2,2,water_level,0.5534924677298771,0.5815348850740931,2.160436471104988,1.0,block
Persistence,0.2,2,air_temp,3.757607972614406,1.3317535599097814,0.43692299500789783,1.0,block
Persistence,0.2,2,water_temp,0.9879861878684352,0.644274944865563,0.1369886356201594,1.0,block
Persistence,0.2,2,air_pressure,3.4891482607403415,1.4128134907155796,0.2780649506349787,1.0,block
Persistence,0.2,2,wind_u,2.9103188079783373,1.2925200074861694,0.7847175597591896,1.0,block
Persistence,0.2,2,wind_v,5.719658252216295,1.7296880023001042,1.3851601375018936,1.0,block
LSTM,0.2,3,water_level,0.050326640576247854,0.14528866843069244,0.19643900524077357,0.0875094481195075,block
LSTM,0.2,3,air_temp,1.5082403694574285,0.8789311524975878,0.17537351001431384,0.40652732140175646,block
LSTM,0.2,3,water_temp,0.7157513748283427,0.6234452258863378,0.09924207998547924,0.6859000342298976,block
LSTM,0.2,3,air_pressure,2.9759949025324577,1.2582389384451795,0.2371695937870664,0.8566359953150969,block
LSTM,0.2,3,wind_u,2.024466595246424,1.0866664361400193,0.545862701392264,0.6890291522267171,block
LSTM,0.2,3,wind_v,2.173549430682687,1.0778838516665532,0.526380055505061,0.3875843767261089,block
Latent ODE,0.2,3,water_level,0.21372099081015686,0.3702617724406769,0.8342130202434785,0.37162436719803704,block
Latent ODE,0.2,3,air_temp,2.6336664393328237,1.1508068989315245,0.306234561165374,0.7098718378906875,block
Latent ODE,0.2,3,water_temp,1.1085407874464095,0.7838935811164423,0.15370406172297907,1.0623076542983698,block
Latent ODE,0.2,3,air_pressure,3.1169936258836444,1.3099358183474783,0.2484063771274005,0.8972222818081681,block
Latent ODE,0.2,3,wind_u,2.1650253852603845,1.1129295450340257,0.5837619687852679,0.736868471555937,block
Latent ODE,0.2,3,wind_v,3.10155815390212,1.357594991402444,0.7511208763678275,0.5530656294218087,block
Persistence,0.2,3,water_level,0.575099508198465,0.5942858383368654,2.244774815314869,1.0,block
Persistence,0.2,3,air_temp,3.710059053981487,1.3248474547352718,0.4313941542959629,1.0,block
Persistence,0.2,3,water_temp,1.0435214158167538,0.6551130615757721,0.14468883952878708,1.0,block
Persistence,0.2,3,air_pressure,3.474048392558844,1.4081752803540486,0.2768615784115261,1.0,block
