model,rate,seed,channel,mse,mae
Latent ODE,0.4,1,air_pressure,4.37015100805763,1.567017018095876
Latent ODE,0.4,1,wind_u,2.115643215500546,1.104543018019962
Latent ODE,0.4,1,wind_v,3.3933468121872203,1.4321148355400521
LSTM,0.4,2,water_level,0.017180321316008017,0.09801060830030305
LSTM,0.4,2,air_temp,1.43779591523551,0.855751451690407
LSTM,0.4,2,water_temp,0.604964223272422,0.5460129465227316
LSTM,0.4,2,air_pressure,2.7567254617845207,1.2466458389565338
LSTM,0.4,2,wind_u,2.1069037569090976,1.0934092717539983
LSTM,0.4,2,wind_v,2.044599969780405,1.031794872348156
Latent ODE,0.4,2,water_level,0.2623475343114504,0.40802735406607266
Latent ODE,0.4,2,air_temp,2.35971497258898,1.0994474858865475
Latent ODE,0.4,2,water_temp,0.7174000240685554,0.6060601734217024
Latent ODE,0.4,2,air_pressure,4.506418987590638,1.5717946559184395
Latent ODE,0.4,2,wind_u,2.137742193459662,1.1063097751501836
Latent ODE,0.4,2,wind_v,3.3879083447183422,1.4278441920424954
LSTM,0.4,3,water_level,0.015844475148401045,0.09630181755252314
LSTM,0.4,3,air_temp,1.4693304339714155,0.8658191569452983
LSTM,0.4,3,water_temp,0.6126432362761395,0.5505120983161154
LSTM,0.4,3,air_pressure,2.6792728182450367,1.231261178714478
LSTM,0.4,3,wind_u,2.155406450984454,1.1071840954148007
LSTM,0.4,3,wind_v,2.0586089991559886,1.0367904175010194
Latent ODE,0.4,3,water_level,0.2622906838331086,0.40806384837818227
Latent ODE,0.4,3,air_temp,2.385757463373439,1.1114477766528774
Latent ODE,0.4,3,water_temp,0.7298652587465385,0.6042156157191481
Latent ODE,0.4,3,air_pressure,4.169106901416547,1.521514053003039
Latent ODE,0.4,3,wind_u,2.149172220968638,1.112445972583912
Latent ODE,0.4,3,wind_v,3.3698872974023275,1.4273476199268893
LSTM,0.4,4,water_level,0.014335068063567241,0.09204790505824616
LSTM,0.4,4,air_temp,1.4592101881564565,0.8623762336156596
LSTM,0.4,4,water_temp,0.6204477713410693,0.5523470781634842
LSTM,0.4,4,air_pressure,2.6915453428600764,1.2354074560723902
LSTM,0.4,4,wind_u,2.0640487028693513,1.0891776967931677
LSTM,0.4,4,wind_v,2.059582880450419,1.0372454485909304
Latent ODE,0.4,4,water_level,0.2622812816648797,0.4079814563805854
Latent ODE,0.4,4,air_temp,2.391740337265252,1.1136562113925628
Latent ODE,0.4,4,water_temp,0.7151923301093801,0.5957813906612517
Latent ODE,0.4,4,air_pressure,4.115336253206266,1.526120000974688
Latent ODE,0.4,4,wind_u,2.1282556964090777,1.1090588746247467
Latent ODE,0.4,4,wind_v,3.3759168245977023,1.4269000095149083
LSTM,0.6,0,water_level,0.043927234868191826,0.14435676174597672
LSTM,0.6,0,air_temp,1.5341138434984658,0.8800972848844619
LSTM,0.6,0,water_temp,0.6829634221477912,0.59535223597305
LSTM,0.6,0,air_pressure,2.939971116794709,1.295624670938633
LSTM,0.6,0,wind_u,2.1771199647023622,1.117387720230051
LSTM,0.6,0,wind_v,2.1814290248986445,1.069986282374321
Latent ODE,0.6,0,water_level,0.26264139455009533,0.40796787997907014
Latent ODE,0.6,0,air_temp,2.421595073300502,1.118479718326073
Latent ODE,0.6,0,water_temp,0.7919496735170624,0.6749288840099744
Latent ODE,0.6,0,air_pressure,5.172258614222615,1.660310015899079
Latent ODE,0.6,0,wind_u,2.345479990898158,1.1659805991432883
Latent ODE,0.6,0,wind_v,3.437069889672276,1.4469966117781823
LSTM,0.6,1,water_level,0.044466101530729066,0.14989068634688804
LSTM,0.6,1,air_temp,1.5502215658176883,0.8830493089867493
LSTM,0.6,1,water_temp,0.6678425435689755,0.5856538270518018
LSTM,0.6,1,air_pressure,3.0610376603315066,1.3193056737469009
LSTM,0.6,1,wind_u,2.1428745346839984,1.106539376255639
LSTM,0.6,1,wind_v,2.121759061460142,1.0573730211868029
Latent ODE,0.6,1,water_level,0.26275485005816596,0.40800549829317523
Latent ODE,0.6,1,air_temp,2.3878410593180495,1.1163392541860564
Latent ODE,0.6,1,water_temp,0.7656726367899777,0.6544957558573551
Latent ODE,0.6,1,air_pressure,5.348714043016652,1.7028743510410003
Latent ODE,0.6,1,wind_u,2.287373006544531,1.14862034216473
Latent ODE,0.6,1,wind_v,3.4455657984672574,1.4519949569445267
LSTM,0.6,2,water_level,0.03927870447533213,0.14113926887512207
LSTM,0.6,2,air_temp,1.5718069306363631,0.8843046779392574
LSTM,0.6,2,water_temp,0.6117967638397382,0.55718489334834
LSTM,0.6,2,air_pressure,3.028620831568273,1.3157190480296306
LSTM,0.6,2,wind_u,2.151919111258253,1.1057084658330538
LSTM,0.6,2,wind_v,2.152763874041111,1.0636028938421898
Latent ODE,0.6,2,water_level,0.2626747711425884,0.4079179482592588
Latent ODE,0.6,2,air_temp,2.3967939390254496,1.1148233671995795
Latent ODE,0.6,2,water_temp,0.7739050807242764,0.6703999720963159
Latent ODE,0.6,2,air_pressure,5.209918727699844,1.6863228636627945
Latent ODE,0.6,2,wind_u,2.2457767576480956,1.132640247794514
Latent ODE,0.6,2,wind_v,3.46175633696996,1.4540990707448838
LSTM,0.6,3,water_level,0.041647470338864796,0.1446658773590962
LSTM,0.6,3,air_temp,1.612658748191464,0.8985940465847804
LSTM,0.6,3,water_temp,0.6442738073520506,0.5701773851337761
LSTM,0.6,3,air_pressure,3.0742303999178597,1.2965905207208692
LSTM,0.6,3,wind_u,2.2605765114729652,1.128348450066666
LSTM,0.6,3,wind_v,2.1520552458586515,1.0636888304944794
Latent ODE,0.6,3,water_level,0.2628117680248334,0.40819991287707075
Latent ODE,0.6,3,air_temp,2.399232788313729,1.1130185687585181
Latent ODE,0.6,3,water_temp,0.7978349216825791,0.6783441700967547
Latent ODE,0.6,3,air_pressure,4.875877391760678,1.6313039853288613
Latent ODE,0.6,3,wind_u,2.2636649969852334,1.1440831739894468
Latent ODE,0.6,3,wind_v,3.439943885161018,1.4480697683212331
LSTM,0.6,4,water_level,0.043623221151549575,0.1477082169347183
LSTM,0.6,4,air_temp,1.5691448422377234,0.8853534398289422
LSTM,0.6,4,water_temp,0.6661576018363542,0.5797020272442439
LSTM,0.6,4,air_pressure,2.911270003299465,1.306758608078748
LSTM,0.6,4,wind_u,2.0699389101278904,1.0902362656513047
LSTM,0.6,4,wind_v,2.113050091547597,1.0597739749484592
Latent ODE,0.6,4,water_level,0.2625903906496814,0.4078887643789984
Latent ODE,0.6,4,air_temp,2.4063355780837634,1.1200425645694418
Latent ODE,0.6,4,water_temp,0.785114490152729,0.6634326737975078
Latent ODE,0.6,4,air_pressure,4.806576413776758,1.6401750398205908
Latent ODE,0.6,4,wind_u,2.27943624631323,1.1493578438807015
Latent ODE,0.6,4,wind_v,3.413430518975563,1.4393146013972735
LSTM,0.8,0,water_level,0.15404838619858854,0.28616306333855207
LSTM,0.8,0,air_temp,1.903034002751932,0.9820353645687546
LSTM,0.8,0,water_temp,0.7742670293002769,0.646591978864215
LSTM,0.8,0,air_pressure,3.870044821334256,1.4562350204184662
LSTM,0.8,0,wind_u,2.418781126388396,1.1772231863002585
LSTM,0.8,0,wind_v,2.8233412347658717,1.2357064481536146
