model,rate,seed,channel,mse,mae,nmse,skill,mode
LSTM,0.25,2,wind_u,2.1501956800520916,1.139168339582225,0.5797633930790265,0.734991581358996,irregular
LSTM,0.25,2,wind_v,3.388305755001593,1.411919262476426,0.8205640719317193,0.6056151241140589,irregular
Latent ODE,0.25,2,water_level,0.21397639735605706,0.3704644342675743,0.8352099436866917,0.38061913623628035,irregular
Latent ODE,0.25,2,air_temp,2.584906561137798,1.1351649042589027,0.30056491383322614,0.6941897217443771,irregular
Latent ODE,0.25,2,water_temp,1.1044639089547041,0.7780892510122808,0.1531387845672601,1.119391415846302,irregular
Latent ODE,0.25,2,air_pressure,2.9258477382864228,1.27048031398915,0.2331731546252639,0.8364889034334161,irregular
Latent ODE,0.25,2,wind_u,2.144479378835479,1.1077789082060603,0.5782220904804067,0.7330376041885923,irregular
Latent ODE,0.25,2,wind_v,3.0943639364655735,1.3559389159355195,0.74937861436996,0.5530768870756131,irregular
Persistence,0.25,2,water_level,0.5621798196274215,0.5865985758571703,2.19434564416701,1.0,irregular
Persistence,0.25,2,air_temp,3.723631278553622,1.3282249336907703,0.43297229045391106,1.0,irregular
Persistence,0.25,2,water_temp,0.9866646226866835,0.6426436204491193,0.1368053947880969,1.0,irregular
Persistence,0.25,2,air_pressure,3.4977723270172683,1.4112988035109484,0.27875223887393064,1.0,irregular
Persistence,0.25,2,wind_u,2.9254698075267607,1.3006026699372983,0.7888027669746184,1.0,irregular
Persistence,0.25,2,wind_v,5.594816939154668,1.7128451721585212,1.354926651034524,1.0,irregular
LSTM,0.25,3,water_level,0.23547164710988272,0.3747603441422411,0.9191119373563496,0.41885467761176304,irregular
LSTM,0.25,3,air_temp,2.1946116284496817,1.0718932401179966,0.2551826301651803,0.5891512818271655,irregular
LSTM,0.25,3,water_temp,0.7662620915062047,0.626225679403716,0.10624561328064122,0.7766306577328284,irregular
LSTM,0.25,3,air_pressure,3.671723321465178,1.4684254021936043,0.29261512777100496,1.0497235866693768,irregular
LSTM,0.25,3,wind_u,2.1333428832824355,1.1260435270828197,0.5752193254257,0.7292308667119686,irregular
LSTM,0.25,3,wind_v,3.3316590815634277,1.4063870630058681,0.8068456449718167,0.5954902756955646,irregular
Latent ODE,0.25,3,water_level,0.21397639735605706,0.3704644342675743,0.8352099436866917,0.38061913623628035,irregular
Latent ODE,0.25,3,air_temp,2.584906561137798,1.1351649042589027,0.30056491383322614,0.693927341929557,irregular
Latent ODE,0.25,3,water_temp,1.1044639089547041,0.7780892510122808,0.1531387845672601,1.119408804848487,irregular
Latent ODE,0.25,3,air_pressure,2.9258477382864228,1.27048031398915,0.2331731546252639,0.8364822490647015,irregular
Latent ODE,0.25,3,wind_u,2.144479378835479,1.1077789082060603,0.5782220904804067,0.7330376041885923,irregular
Latent ODE,0.25,3,wind_v,3.0943639364655735,1.3559389159355195,0.74937861436996,0.5530768870756131,irregular
Persistence,0.25,3,water_level,0.5621798196274215,0.5865985758571703,2.19434564416701,1.0,irregular
Persistence,0.25,3,air_temp,3.725039215128954,1.3286240086338146,0.4331360009499922,1.0,irregular
Persistence,0.25,3,water_temp,0.9866492957451719,0.6426157535336281,0.13680326964016296,1.0,irregular
Persistence,0.25,3,air_pressure,3.497800152433492,1.411351313487844,0.27875445639878493,1.0,irregular
Persistence,0.25,3,wind_u,2.9254698075267607,1.3006026699372983,0.7888027669746184,1.0,irregular
Persistence,0.25,3,wind_v,5.594816939154668,1.7128451721585212,1.354926651034524,1.0,irregular
LSTM,0.25,4,water_level,0.2284177873144506,0.37247799921827196,0.8915787425025578,0.4063073403556748,irregular
LSTM,0.25,4,air_temp,2.197885277365917,1.0622934921527454,0.2555632799028619,0.5900301044991363,irregular
LSTM,0.25,4,water_temp,0.7892797577163925,0.6427452060826211,0.10943711406072475,0.7999597842111517,irregular
LSTM,0.25,4,air_pressure,3.6937943981165047,1.4762953478006524,0.29437406501897667,1.0560335745730514,irregular
LSTM,0.25,4,wind_u,2.1729941193144118,1.136403298496607,0.5859106012732632,0.7427846678586972,irregular
LSTM,0.25,4,wind_v,3.2155822768535582,1.378095445743643,0.7787347062264115,0.5747430723514266,irregular
Latent ODE,0.25,4,water_level,0.21397639735605706,0.3704644342675743,0.8352099436866917,0.38061913623628035,irregular
Latent ODE,0.25,4,air_temp,2.584906561137798,1.1351649042589027,0.30056491383322614,0.693927341929557,irregular
Latent ODE,0.25,4,water_temp,1.1044639089547041,0.7780892510122808,0.1531387845672601,1.119408804848487,irregular
Latent ODE,0.25,4,air_pressure,2.9258477382864228,1.27048031398915,0.2331731546252639,0.8364822490647015,irregular
Latent ODE,0.25,4,wind_u,2.144479378835479,1.1077789082060603,0.5782220904804067,0.7330376041885923,irregular
Latent ODE,0.25,4,wind_v,3.0943639364655735,1.3559389159355195,0.74937861436996,0.5530768870756131,irregular
Persistence,0.25,4,water_level,0.5621798196274215,0.5865985758571703,2.19434564416701,1.0,irregular
Persistence,0.25,4,air_temp,3.725039215128954,1.3286240086338146,0.4331360009499922,1.0,irregular
Persistence,0.25,4,water_temp,0.9866492957451719,0.6426157535336281,0.13680326964016296,1.0,irregular
Persistence,0.25,4,air_pressure,3.497800152433492,1.411351313487844,0.27875445639878493,1.0,irregular
Persistence,0.25,4,wind_u,2.9254698075267607,1.3006026699372983,0.7888027669746184,1.0,irregular
Persistence,0.25,4,wind_v,5.594816939154668,1.7128451721585212,1.354926651034524,1.0,irregular
LSTM,0.5,0,water_level,0.4273370063280169,0.5237291496324341,1.6680162924537578,0.7601429140790394,irregular
LSTM,0.5,0,air_temp,2.56568712781042,1.1563874753276182,0.2983301377647929,0.6892419215166281,irregular
LSTM,0.5,0,water_temp,0.7971545961892107,0.6530487009438927,0.11052899509243018,0.8078398211758364,irregular
LSTM,0.5,0,air_pressure,4.213991067253525,1.5614688507124947,0.33583073304069433,1.2046675639021152,irregular
LSTM,0.5,0,wind_u,2.2062565268173344,1.1320551631857902,0.5948792390650592,0.7541546048914923,irregular
LSTM,0.5,0,wind_v,3.6620614222725036,1.4738693102872984,0.8868609416043023,0.6545453519031156,irregular
Latent ODE,0.5,0,water_level,0.21397639735605706,0.3704644342675743,0.8352099436866917,0.38061913623628035,irregular
Latent ODE,0.5,0,air_temp,2.584906561137798,1.1351649042589027,0.30056491383322614,0.6944049981105882,irregular
Latent ODE,0.5,0,water_temp,1.1044639089547041,0.7780892510122808,0.1531387845672601,1.1192683714933458,irregular
Latent ODE,0.5,0,air_pressure,2.9258477382864228,1.27048031398915,0.2331731546252639,0.8364217699984898,irregular
Latent ODE,0.5,0,wind_u,2.144479378835479,1.1077789082060603,0.5782220904804067,0.7330376041885923,irregular
Latent ODE,0.5,0,wind_v,3.0943639364655735,1.3559389159355195,0.74937861436996,0.5530768870756131,irregular
Persistence,0.5,0,water_level,0.5621798196274215,0.5865985758571703,2.19434564416701,1.0,irregular
Persistence,0.5,0,air_temp,3.722476894853997,1.3278048522731283,0.4328380622994297,1.0,irregular
